令和４年,医療施設調査,令和４（２０２２）年１０月１日,
二次医療圏・市区町村編　第１表　病院数；病床数，病院－病床の種類・二次医療圏・市区町村別
,施設数,,,,,,病床数,,,,,,
,総　数,精神科,一般病院,,地域医,救　急,総　数,精　神,感染症,結　核,療　養,一　般,地域医
,,病　院,総数,療養病床,療支援,告　示,,病　床,病　床,病　床,病　床,病　床,療支援
,,,,を有する,病　院,病　院,,,,,,,病　院
,,,,病院,(再掲),(再掲),,,,,,,(再掲)
,,,,(再掲),,,,,,,,,
,,,,,,,,,,,,,
01　　北海道　,535,70,465,221,18,245,90730,19445,97,146,18767,52275,8611
0101　南渡島　　　　　　　,33,1,32,16,2,22,6962,1627,6,15,1050,4264,888
01202 函館市　　　　,27,1,26,13,2,18,6032,1267,6,15,822,3922,888
01236 北斗市　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
01331 松前町　　　　,1,-,1,-,-,1,93,-,-,-,-,93,-
01332 福島町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
01333 知内町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
01334 木古内町　　　,1,-,1,-,-,1,99,-,-,-,-,99,-
01337 七飯町　　　　,2,-,2,2,-,1,595,360,-,-,186,49,-
01343 鹿部町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
01345 森町　　　　　,2,-,2,1,-,1,143,-,-,-,42,101,-
0102　南檜山　　　　　　　,5,-,5,4,-,4,443,48,4,-,118,273,-
01361 江差町　　　　,2,-,2,1,-,1,258,48,4,-,60,146,-
01362 上ノ国町　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
01363 厚沢部町　　　,1,-,1,1,-,1,69,-,-,-,24,45,-
01364 乙部町　　　　,1,-,1,1,-,1,62,-,-,-,4,58,-
01367 奥尻町　　　　,1,-,1,1,-,1,54,-,-,-,30,24,-
0103　北渡島檜山　　　　　,6,-,6,3,-,5,747,100,4,-,184,459,-
